CaseNum,Radius,Height,Thickness
502.000,2.950,10.310,0.850
503.000,2.950,10.552,0.850
504.000,2.950,10.793,0.850
505.000,2.950,11.034,0.850
506.000,2.950,11.276,0.850
507.000,2.950,11.517,0.850
508.000,2.950,11.759,0.850
509.000,2.950,12.000,0.850
510.000,2.950,5.000,1.100
511.000,2.950,5.241,1.100
512.000,2.950,5.483,1.100
513.000,2.950,5.724,1.100
514.000,2.950,5.966,1.100
515.000,2.950,6.207,1.100
516.000,2.950,6.448,1.100
517.000,2.950,6.690,1.100
518.000,2.950,6.931,1.100
519.000,2.950,7.172,1.100
520.000,2.950,7.414,1.100
521.000,2.950,7.655,1.100
522.000,2.950,7.897,1.100
523.000,2.950,8.138,1.100
524.000,2.950,8.379,1.100
525.000,2.950,8.621,1.100
526.000,2.950,8.862,1.100
527.000,2.950,9.103,1.100
528.000,2.950,9.345,1.100
529.000,2.950,9.586,1.100
530.000,2.950,9.828,1.100
531.000,2.950,10.069,1.100
532.000,2.950,10.310,1.100
533.000,2.950,10.552,1.100
534.000,2.950,10.793,1.100
535.000,2.950,11.034,1.100
536.000,2.950,11.276,1.100
537.000,2.950,11.517,1.100
538.000,2.950,11.759,1.100
539.000,2.950,12.000,1.100
540.000,2.100,5.000,0.600
541.000,2.100,5.000,0.617
542.000,2.100,5.000,0.634
543.000,2.100,5.000,0.652
544.000,2.100,5.000,0.669
545.000,2.100,5.000,0.686
546.000,2.100,5.000,0.703
547.000,2.100,5.000,0.721
548.000,2.100,5.000,0.738
549.000,2.100,5.000,0.755
550.000,2.100,5.000,0.772
551.000,2.100,5.000,0.790
552.000,2.100,5.000,0.807
553.000,2.100,5.000,0.824
554.000,2.100,5.000,0.841
555.000,2.100,5.000,0.859
556.000,2.100,5.000,0.876
557.000,2.100,5.000,0.893
558.000,2.100,5.000,0.910
559.000,2.100,5.000,0.928
560.000,2.100,5.000,0.945
561.000,2.100,5.000,0.962
562.000,2.100,5.000,0.979
563.000,2.100,5.000,0.997
564.000,2.100,5.000,1.014
565.000,2.100,5.000,1.031
566.000,2.100,5.000,1.048
567.000,2.100,5.000,1.066
568.000,2.100,5.000,1.083
569.000,2.100,5.000,1.100
570.000,2.100,8.500,0.600
571.000,2.100,8.500,0.617
572.000,2.100,8.500,0.634
573.000,2.100,8.500,0.652
574.000,2.100,8.500,0.669
575.000,2.100,8.500,0.686
576.000,2.100,8.500,0.703
577.000,2.100,8.500,0.721
578.000,2.100,8.500,0.738
579.000,2.100,8.500,0.755
580.000,2.100,8.500,0.772
581.000,2.100,8.500,0.790
582.000,2.100,8.500,0.807
583.000,2.100,8.500,0.824
584.000,2.100,8.500,0.841
585.000,2.100,8.500,0.859
586.000,2.100,8.500,0.876
587.000,2.100,8.500,0.893
588.000,2.100,8.500,0.910
589.000,2.100,8.500,0.928
590.000,2.100,8.500,0.945
591.000,2.100,8.500,0.962
592.000,2.100,8.500,0.979
593.000,2.100,8.500,0.997
594.000,2.100,8.500,1.014
595.000,2.100,8.500,1.031
596.000,2.100,8.500,1.048
597.000,2.100,8.500,1.066
598.000,2.100,8.500,1.083
599.000,2.100,8.500,1.100
600.000,2.100,12.000,0.600
601.000,2.100,12.000,0.617
602.000,2.100,12.000,0.634
603.000,2.100,12.000,0.652
604.000,2.100,12.000,0.669
605.000,2.100,12.000,0.686
606.000,2.100,12.000,0.703
607.000,2.100,12.000,0.721
608.000,2.100,12.000,0.738
609.000,2.100,12.000,0.755
610.000,2.100,12.000,0.772
611.000,2.100,12.000,0.790
612.000,2.100,12.000,0.807
613.000,2.100,12.000,0.824
614.000,2.100,12.000,0.841
615.000,2.100,12.000,0.859
616.000,2.100,12.000,0.876
617.000,2.100,12.000,0.893
618.000,2.100,12.000,0.910
619.000,2.100,12.000,0.928
620.000,2.100,12.000,0.945
621.000,2.100,12.000,0.962
622.000,2.100,12.000,0.979
623.000,2.100,12.000,0.997
624.000,2.100,12.000,1.014
625.000,2.100,12.000,1.031
626.000,2.100,12.000,1.048
627.000,2.100,12.000,1.066
628.000,2.100,12.000,1.083
629.000,2.100,12.000,1.100
630.000,2.500,5.000,0.600
631.000,2.500,5.000,0.617
632.000,2.500,5.000,0.634
633.000,2.500,5.000,0.652
634.000,2.500,5.000,0.669
635.000,2.500,5.000,0.686
636.000,2.500,5.000,0.703
637.000,2.500,5.000,0.721
638.000,2.500,5.000,0.738
639.000,2.500,5.000,0.755
640.000,2.500,5.000,0.772
641.000,2.500,5.000,0.790
642.000,2.500,5.000,0.807
643.000,2.500,5.000,0.824
644.000,2.500,5.000,0.841
645.000,2.500,5.000,0.859
646.000,2.500,5.000,0.876
647.000,2.500,5.000,0.893
648.000,2.500,5.000,0.910
649.000,2.500,5.000,0.928
650.000,2.500,5.000,0.945
651.000,2.500,5.000,0.962
652.000,2.500,5.000,0.979
653.000,2.500,5.000,0.997
654.000,2.500,5.000,1.014
655.000,2.500,5.000,1.031
656.000,2.500,5.000,1.048
657.000,2.500,5.000,1.066
658.000,2.500,5.000,1.083
659.000,2.500,5.000,1.100
660.000,2.500,8.500,0.600
661.000,2.500,8.500,0.617
662.000,2.500,8.500,0.634
663.000,2.500,8.500,0.652
664.000,2.500,8.500,0.669
665.000,2.500,8.500,0.686
666.000,2.500,8.500,0.703
667.000,2.500,8.500,0.721
668.000,2.500,8.500,0.738
669.000,2.500,8.500,0.755
670.000,2.500,8.500,0.772
671.000,2.500,8.500,0.790
672.000,2.500,8.500,0.807
673.000,2.500,8.500,0.824
674.000,2.500,8.500,0.841
675.000,2.500,8.500,0.859
676.000,2.500,8.500,0.876
677.000,2.500,8.500,0.893
678.000,2.500,8.500,0.910
679.000,2.500,8.500,0.928
680.000,2.500,8.500,0.945
681.000,2.500,8.500,0.962
682.000,2.500,8.500,0.979
683.000,2.500,8.500,0.997
684.000,2.500,8.500,1.014
685.000,2.500,8.500,1.031
686.000,2.500,8.500,1.048
687.000,2.500,8.500,1.066
688.000,2.500,8.500,1.083
689.000,2.500,8.500,1.100
690.000,2.500,12.000,0.600
691.000,2.500,12.000,0.617
692.000,2.500,12.000,0.634
693.000,2.500,12.000,0.652
694.000,2.500,12.000,0.669
695.000,2.500,12.000,0.686
696.000,2.500,12.000,0.703
697.000,2.500,12.000,0.721
698.000,2.500,12.000,0.738
699.000,2.500,12.000,0.755
700.000,2.500,12.000,0.772
701.000,2.500,12.000,0.790
702.000,2.500,12.000,0.807
703.000,2.500,12.000,0.824
704.000,2.500,12.000,0.841
705.000,2.500,12.000,0.859
706.000,2.500,12.000,0.876
707.000,2.500,12.000,0.893
708.000,2.500,12.000,0.910
709.000,2.500,12.000,0.928
710.000,2.500,12.000,0.945
711.000,2.500,12.000,0.962
712.000,2.500,12.000,0.979
713.000,2.500,12.000,0.997
714.000,2.500,12.000,1.014
715.000,2.500,12.000,1.031
716.000,2.500,12.000,1.048
717.000,2.500,12.000,1.066
718.000,2.500,12.000,1.083
719.000,2.500,12.000,1.100
720.000,2.950,5.000,0.600
721.000,2.950,5.000,0.617
722.000,2.950,5.000,0.634
723.000,2.950,5.000,0.652
724.000,2.950,5.000,0.669
725.000,2.950,5.000,0.686
726.000,2.950,5.000,0.703
727.000,2.950,5.000,0.721
728.000,2.950,5.000,0.738
729.000,2.950,5.000,0.755
730.000,2.950,5.000,0.772
731.000,2.950,5.000,0.790
732.000,2.950,5.000,0.807
733.000,2.950,5.000,0.824
734.000,2.950,5.000,0.841
735.000,2.950,5.000,0.859
736.000,2.950,5.000,0.876
737.000,2.950,5.000,0.893
738.000,2.950,5.000,0.910
739.000,2.950,5.000,0.928
740.000,2.950,5.000,0.945
741.000,2.950,5.000,0.962
742.000,2.950,5.000,0.979
743.000,2.950,5.000,0.997
744.000,2.950,5.000,1.014
745.000,2.950,5.000,1.031
746.000,2.950,5.000,1.048
747.000,2.950,5.000,1.066
748.000,2.950,5.000,1.083
749.000,2.950,5.000,1.100
750.000,2.950,8.500,0.600
751.000,2.950,8.500,0.617
752.000,2.950,8.500,0.634
753.000,2.950,8.500,0.652
754.000,2.950,8.500,0.669
755.000,2.950,8.500,0.686
756.000,2.950,8.500,0.703
757.000,2.950,8.500,0.721
758.000,2.950,8.500,0.738
759.000,2.950,8.500,0.755
760.000,2.950,8.500,0.772
761.000,2.950,8.500,0.790
762.000,2.950,8.500,0.807
763.000,2.950,8.500,0.824
764.000,2.950,8.500,0.841
765.000,2.950,8.500,0.859
766.000,2.950,8.500,0.876
767.000,2.950,8.500,0.893
768.000,2.950,8.500,0.910
769.000,2.950,8.500,0.928
770.000,2.950,8.500,0.945
771.000,2.950,8.500,0.962
772.000,2.950,8.500,0.979
773.000,2.950,8.500,0.997
774.000,2.950,8.500,1.014
775.000,2.950,8.500,1.031
776.000,2.950,8.500,1.048
777.000,2.950,8.500,1.066
778.000,2.950,8.500,1.083
779.000,2.950,8.500,1.100
780.000,2.950,12.000,0.600
781.000,2.950,12.000,0.617
782.000,2.950,12.000,0.634
783.000,2.950,12.000,0.652
784.000,2.950,12.000,0.669
785.000,2.950,12.000,0.686
786.000,2.950,12.000,0.703
787.000,2.950,12.000,0.721
788.000,2.950,12.000,0.738
789.000,2.950,12.000,0.755
790.000,2.950,12.000,0.772
791.000,2.950,12.000,0.790
792.000,2.950,12.000,0.807
793.000,2.950,12.000,0.824
794.000,2.950,12.000,0.841
795.000,2.950,12.000,0.859
796.000,2.950,12.000,0.876
797.000,2.950,12.000,0.893
798.000,2.950,12.000,0.910
799.000,2.950,12.000,0.928
800.000,2.950,12.000,0.945
801.000,2.950,12.000,0.962
802.000,2.950,12.000,0.979
803.000,2.950,12.000,0.997
804.000,2.950,12.000,1.014
805.000,2.950,12.000,1.031
806.000,2.950,12.000,1.048
807.000,2.950,12.000,1.066
808.000,2.950,12.000,1.083
809.000,2.950,12.000,1.100
